Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
initialize,2025-05-08 13:59:34.995111,0,1,0,0,0,0
2,2025-05-08 13:59:34.995111,0,1,0,2,0,1
2,2025-05-08 14:00:06.137187,19647231169,1,1,0,1,0
2,2025-05-08 14:00:19.732888,19647231169,1,0,0,0,0
2,2025-05-08 14:02:57.684614,19645782,1,0,1,0,1
2,2025-05-08 14:03:03.747395,19645782,1,0,0,0,0
2,2025-05-08 14:04:00.049621,19644207130,1,0,0,0,0
2,2025-05-08 14:04:07.374796,19644207130,1,0,0,0,0
2,2025-05-08 14:04:16.204765,19647186244,1,0,0,0,0
2,2025-05-08 14:04:30.840265,19644194143,1,0,1,0,1
2,2025-05-08 14:04:36.694261,19644194143,1,0,0,0,0
2,2025-05-08 14:05:17.897646,19647181251,1,0,0,0,0
