Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
initialize,2025-05-11 14:08:07.482466,0,1,0,0,0,0
2,2025-05-11 14:08:07.482466,0,1,0,0,0,0
2,2025-05-11 14:08:18.629268,19647231169,1,0,3,0,1
2,2025-05-11 14:08:28.706476,19647231169,1,0,0,0,0
2,2025-05-11 14:45:14.532117,19645782,1,0,0,0,0
2,2025-05-11 14:45:45.513210,19645782,1,0,0,0,0
2,2025-05-11 14:47:27.573850,19645782,1,0,0,0,0
2,2025-05-11 14:47:33.667690,19645782,1,0,0,0,0
2,2025-05-11 14:47:36.866654,19645782,1,0,0,0,0
2,2025-05-11 14:47:37.907028,19645782,1,0,0,0,0
2,2025-05-11 14:48:08.312555,19645782,1,0,0,0,0
2,2025-05-11 14:48:15.110127,19645782,1,0,0,0,0
2,2025-05-11 14:48:16.980495,19645782,1,0,0,0,0
2,2025-05-11 14:48:28.257992,19645782,1,0,0,0,0
2,2025-05-11 14:48:33.567318,19645782,1,0,0,0,0
2,2025-05-11 14:48:36.174479,19645782,1,0,0,0,0
2,2025-05-11 14:49:30.732053,19645782,1,0,0,0,0
2,2025-05-11 14:49:43.159643,19645782,1,0,0,0,0
2,2025-05-11 14:50:01.648864,19645782,1,0,0,0,0
2,2025-05-11 14:50:07.486407,1102000232,1,0,0,0,0
2,2025-05-11 14:50:07.503199,19645782,1,0,0,0,0
2,2025-05-11 14:51:02.475463,19645782,1,0,0,0,0
2,2025-05-11 14:51:29.618196,19645782,1,0,0,0,0
2,2025-05-11 14:53:33.991425,19645782,1,0,0,0,0
2,2025-05-11 14:53:36.406436,19645782,1,0,0,0,0
2,2025-05-11 14:54:27.540963,19645782,1,0,0,0,0
2,2025-05-11 14:55:20.418705,19645782,1,0,0,0,0
2,2025-05-11 14:55:22.946299,19647181251,1,0,0,0,0
2,2025-05-11 14:55:49.960665,19645782,1,0,0,0,0
2,2025-05-11 14:56:18.941965,19645782,1,0,0,0,0
2,2025-05-11 14:57:16.458584,19645782,1,0,0,0,0
2,2025-05-11 14:57:18.968971,19645782,1,0,0,0,0
2,2025-05-11 14:57:37.731086,19645782,1,0,0,0,0
2,2025-05-11 14:57:39.010630,19645782,1,0,0,0,0
2,2025-05-11 14:58:16.309773,19645782,1,0,0,0,0
2,2025-05-11 14:58:41.118066,19645782,1,0,0,0,0
2,2025-05-11 14:59:42.760036,19645782,1,0,0,0,0
2,2025-05-11 15:03:22.171956,19645782,1,0,0,0,0
2,2025-05-11 15:03:38.694513,19645782,1,0,0,0,0
2,2025-05-11 15:03:57.871275,19645782,1,0,0,0,0
2,2025-05-11 15:04:38.913347,1102000232,1,0,0,0,0
2,2025-05-11 15:04:38.929533,19647181251,1,0,0,0,0
2,2025-05-11 15:04:42.384706,19647181251,1,0,0,0,0
2,2025-05-11 15:06:48.164652,19647181251,1,0,0,0,0
2,2025-05-11 15:06:56.034739,19647181251,1,0,0,0,0
2,2025-05-11 15:08:04.538632,19645782,1,0,0,0,0
2,2025-05-11 15:08:13.670904,19645782,1,0,0,0,0
2,2025-05-11 15:08:45.755527,19645782,1,0,0,0,0
2,2025-05-11 15:08:48.219393,19645782,1,0,0,0,0
2,2025-05-11 15:08:57.303414,19645782,1,0,0,0,0
2,2025-05-11 15:10:01.216735,19645782,1,0,0,0,0
2,2025-05-11 15:10:03.520504,19645782,1,0,0,0,0
2,2025-05-11 15:10:11.261129,19647181251,1,0,0,0,0
2,2025-05-11 15:10:57.148659,19647181251,1,0,0,0,0
2,2025-05-11 15:11:45.052263,19645782,1,0,0,0,0
2,2025-05-11 15:12:19.918870,19645782,1,0,0,0,0
2,2025-05-11 15:15:31.178978,19644207130,1,0,0,0,0
2,2025-05-11 15:15:39.480244,19644207130,1,0,0,0,0
2,2025-05-11 15:15:41.431516,19644207130,1,0,0,0,0
2,2025-05-11 15:16:17.850587,19644207130,1,0,0,0,0
2,2025-05-11 15:16:31.829603,19644207130,1,0,0,0,0
2,2025-05-11 15:16:33.317472,1102000232,1,0,0,0,0
2,2025-05-11 15:16:33.333201,19644207130,1,0,0,0,0
2,2025-05-11 15:16:43.873925,19644207130,1,0,0,0,0
2,2025-05-11 15:16:49.615788,19644207130,1,0,0,0,0
2,2025-05-11 15:16:56.173081,19644207130,1,0,0,0,0
2,2025-05-11 15:17:00.603630,19644207130,1,0,0,0,0
2,2025-05-11 15:17:02.458917,19644207130,1,0,0,0,0
2,2025-05-11 15:17:19.477518,19644207130,1,0,0,0,0
2,2025-05-11 15:17:21.332704,19644207130,1,0,0,0,0
2,2025-05-11 15:17:25.491291,19644207130,1,0,0,0,0
2,2025-05-11 15:17:52.650976,19644207130,1,0,0,0,0
2,2025-05-11 15:18:00.327157,19644207130,1,0,0,0,0
2,2025-05-11 15:18:26.110129,19644207130,1,0,0,0,0
2,2025-05-11 15:18:33.980290,19644207130,1,0,0,0,0
2,2025-05-11 15:19:20.635733,19647186244,1,0,0,0,0
2,2025-05-11 15:22:22.027710,19644207130,1,0,0,0,0
2,2025-05-11 15:22:57.263060,19647186244,1,0,0,0,0
2,2025-05-11 15:23:21.238932,19647186244,1,0,0,0,0
2,2025-05-11 15:23:22.710033,19647186244,1,0,0,0,0
2,2025-05-11 15:23:26.271641,19647186244,1,0,0,0,0
2,2025-05-11 15:23:29.908619,19647186244,1,0,0,0,0
2,2025-05-11 15:23:31.682498,1102000232,1,0,0,0,0
2,2025-05-11 15:23:31.699129,19647186244,1,0,0,0,0
2,2025-05-11 15:23:52.668514,19644207130,1,0,0,0,0
2,2025-05-11 15:23:56.362380,19644207130,1,0,0,0,0
2,2025-05-11 15:24:01.112381,19644207130,1,0,0,0,0
2,2025-05-11 15:24:28.383347,19644207130,1,0,0,0,0
