,2
11,2
12,4
11,3
11,5
12,5
14,3
12,2
12,6
11,3
13,2
12,5
11,4
12,3
12,3
12,3
12,4
13,3
12,3
12,5
10,3
13,2
12,5
12,3
14,2
13,4
11,2
11,4
12,1
13,3
12,2
12,3
12,4
11,4
14,3
13,3
12,6
12,3
12,3
13,3
12,3
11,4
12,2
12,5
12,4
13,3
12,3
12,4
12,3
12,2
12,7
12,5
13,3
11,2
11,3
12,2
12,2
12,2
12,5
14,2
12,3
12,4
9,2
12,3
11,3
12,3
13,3
1175,4
15,4
13,5
12,4
14,5
269,5
5,4
13,6
360,10
1164,8
1715,7
14,2
12,5
11,4
13,7
13,3
1032,6
1702,7
750,5
13,3
1886,6
1657,4
14,3
12,4
12,3
12,3
13,2
12,4
12,5
13,3
13,5
12,6
10,4
13,2
13,11
350,4
13,7
286,0
12,5
16,4
815,7
666,2
12,3
12,4
20,7
213,4
176,7
7,4
13,2
11,2
11,3
12,4
12,3
14,5
11,10
1170,8
31,10
12,5
12,3
13,3
11,6
12,4
13,2
12,4
12,2
11,4
12,1
11,5
12,4
12,3
12,3
12,4
11,3
13,2
12,7
12,4
13,3
12,3
11,3
12,4
12,3
12,3
12,5
12,3
13,6
11,5
10,3
12,2
12,5
11,3
13,3
12,0
11,3
11,3
12,2
12,3
11,5
12,3
12,2
12,5
12,3
13,3
12,6
12,4
13,3
12,4
12,3
11,5
12,2
12,4
12,5
12,3
12,1
11,6
11,4
14,3
12,5
12,4
12,2
11,2
11,2
12,4
12,2
12,4
12,4
14,3
13,3
11,6
11,4
12,3
13,5
11,3
11,4
12,2
12,3
12,4
12,3
12,4
11,5
12,3
12,1
12,0
11,0
13,0
12,1
11,0
12,0
12,0
11,1
12,0
12,0
12,1
11,2
10,0
12,0
12,2
11,2
13,0
13,1
11,0
11,1
12,0
12,2
12,2
12,0
12,0
12,2
12,0
12,0
12,5
12,3
13,1
12,1
11,2
12,2
12,1
12,1
12,3
12,0
12,2
12,2
10,3
13,0
12,4
11,2
12,1
12,1
11,1
12,3
12,1
12,1
11,3
12,1
12,4
12,3
11,2
13,1
13,3
11,1
12,1
12,1
12,1
12,2
12,1
12,3
11,3
13,2
12,0
11,4
11,1
13,2
13,2
11,2
11,1
12,0
12,0
12,2
12,1
12,2
11,3
12,2
12,0
12,4
12,3
13,2
12,3
11,2
12,2
12,1
12,3
12,3
13,2
12,2
11,4
9,2
12,3
12,2
11,3
11,2
12,4
12,3
12,2
12,2
12,2
12,2
12,2
12,6
12,2
13,1
12,2
12,2
11,2
12,1
12,2
12,4
12,1
12,0
11,3
11,2
13,1
12,5
11,2
12,2
12,2
12,2
12,3
12,2
12,1
12,3
12,2
12,4
12,5
11,3
12,2
12,3
12,3
12,2
12,1
12,2
12,3
12,1
12,4
12,3
13,3
12,0
11,4
11,1
13,2
13,3
11,2
12,1
12,2
12,2
12,3
