Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
0,2025-12-17 23:43:09.760682,12184102124,B,0,0,0,0
0,2025-12-18 00:21:41.550573,121833859,B,4,177,1,23
0,2025-12-18 00:22:08.960567,121833859,B,0,0,0,0
0,2025-12-18 00:31:06.034488,121833859,B,3,82,1,10
0,2025-12-18 00:31:19.850872,121833859,B,0,0,0,0
0,2025-12-18 01:19:28.266669,12184189167,B,0,76,0,11
0,2025-12-18 01:24:54.080088,12184189167,B,2,94,1,12
0,2025-12-18 02:04:50.574914,121835736,B,45,74,7,10
0,2025-12-18 02:08:31.759924,121835736,B,80,0,13,0
0,2025-12-18 02:14:23.064967,121835736,B,121,0,16,0
0,2025-12-18 02:21:41.012308,12184102124,B,41,4,6,1
0,2025-12-18 02:21:50.542779,12184102124,B,0,0,0,0
0,2025-12-18 02:24:21.865483,12185199220,B,41,0,5,0
0,2025-12-18 02:24:28.805818,12185199220,B,0,0,0,0
0,2025-12-18 02:30:33.978327,121833859,B,89,0,12,0
0,2025-12-18 02:30:49.522261,121833859,B,0,0,0,0
0,2025-12-18 02:31:36.343340,121835736,B,90,0,12,0
0,2025-12-18 02:34:46.604505,12184102124,B,53,0,10,0
0,2025-12-18 02:35:02.803632,12184102124,B,0,0,0,0
0,2025-12-18 02:36:10.652675,121833859,B,123,12,15,3
0,2025-12-18 02:36:33.361317,121833859,B,0,0,0,0
0,2025-12-18 02:39:17.522864,12185199220,B,107,0,16,0
0,2025-12-18 02:39:35.480290,12185199220,B,0,0,0,0
0,2025-12-18 03:08:16.655091,12184102124,B,83,0,14,0
0,2025-12-18 03:08:33.860784,12184102124,B,0,0,0,0
0,2025-12-18 03:15:31.817296,121835736,B,125,0,19,0
0,2025-12-18 03:26:43.105896,12184189167,B,92,1,14,1
0,2025-12-18 03:27:33.748192,121835736,B,94,0,14,0
0,2025-12-18 05:26:05.405558,12184189167,B,41,1,7,1
0,2025-12-18 06:10:54.428070,121833859,B,86,0,10,0
0,2025-12-18 06:11:05.639626,121833859,B,0,0,0,0
0,2025-12-18 06:15:45.430523,121833859,B,121,3,17,1
0,2025-12-18 06:16:07.178720,121833859,B,0,0,0,0
0,2025-12-18 06:31:13.912957,12184189167,B,43,1,8,1
0,2025-12-18 06:45:12.891964,12184189167,B,0,0,0,0
0,2025-12-18 06:45:17.034109,12184189167,B,0,0,0,0
0,2025-12-18 06:51:58.489218,12184102124,B,97,1,16,1
0,2025-12-18 06:52:27.191890,12184102124,B,0,0,0,0
